frequency,amplitude,phase
1e3,1,0
2250.25025025,29919563878224336e-22,0.8746762622447124
3500.5005005000003,725315900112877e-21,1.4459394905480563
4750.75075075,5969055235365381e-22,1.391969425110794
6001.0010010000005,11780675552663003e-22,-2.9495956025052847
7251.251251250001,40926802212616824e-23,-2.3220213890311516
8501.5015015,20014075393275008e-23,2.6691806505919153
9751.751751750002,22948654607308157e-23,0.9950516883513628
11002.002002000001,1449327924614405e-22,-0.044033005939363164
12252.25225225,11296473437283109e-23,1.1975070087986819
13502.502502500001,1702142285258093e-22,-0.06441424621262554
14752.752752750002,33152890811958185e-23,-0.9175321213807129
16003.003003000002,42316362159697537e-23,2.618656124478451
17253.25325325,9331890715738424e-23,2.422235367044994
18503.503503500004,13228450273660501e-23,2.080549528563122
19753.753753750003,19185467926637214e-23,-2.460548397693242
21004.004004000002,482369523445515e-22,-0.450100632625334
22254.25425425,3095940035693678e-23,0.7621212976591005
23504.5045045,7920971302907107e-24,0.17315445039952287
24754.754754750003,34088067887834145e-25,-0.49218966077529364
26005.005005000003,18981849288204107e-25,2.690042841668783
27255.255255250002,22638493082169633e-24,-1.8506645438145932
28505.505505500005,10714660053558849e-24,-2.7628952085965586
29755.755755750004,3331522571151618e-23,-0.8719634545541474
31006.006006000003,8475718166280461e-24,0.9363681336415038
32256.256256250002,7171687494576629e-24,2.9540666039922527
33506.5065065,119967433692311e-21,-1.729203185395497
34756.75675675,6490124889327802e-22,-1.5560430036254824
36007.00700700001,11555304636359026e-22,1.4021086063670216
37257.25725725001,3201419145352037e-22,1.7190430873291624
38507.507507500006,2555949309622736e-22,1.2219212689429317
39757.757757750005,33355252409523505e-23,1.5032033952332322
41008.008008000004,36684936989480367e-23,1.0243225310775201
42258.25825825,3762610421127068e-22,1.2885853531767084
43508.5085085,9870913401056906e-22,2.9160093143710846
44758.75875875,7889136129495072e-22,1.0532872199237737
46009.009009,723125214337409e-21,1.03973851878388
47259.25925925001,8058011737265604e-22,0.9116296121195763
48509.50950950001,9730545360425034e-22,0.913002743120823
49759.759759750006,12015450097917485e-22,0.8500630257891715
51010.010010000005,15287417887830138e-22,0.8129234559316025
52260.260260250005,1956223779796037e-21,0.7633024746408109
53510.510510500004,2761208192685366e-21,0.7139209691471293
54760.76076075,4287691577676766e-21,0.6551168783442338
56011.01101100001,8687590855373099e-21,0.5643010056038706
57261.26126125001,7325286212421327e-20,-0.5150520472458521
58511.51151150001,10613757853582979e-21,-2.4171274781916243
59761.76176175001,5430460916097202e-21,-2.518475503734136
61012.01201200001,37372371265689632e-22,-2.570774398160659
62262.262262250006,29033802623922434e-22,-2.510398642783072
63512.512512500005,279139568188388e-20,-2.806938411947231
64762.762762750004,17375686647978404e-22,2.1916887022983538
66013.013013,1591194499644061e-21,-2.609052792987266
67263.26326325,15493947492656525e-22,-2.69522562064803
68513.5135135,14550899799557634e-22,-2.750146689130771
69763.76376375,13648619712929094e-22,-2.7894056981683635
71014.01401400001,12862701512438156e-22,-2.825141795260165
72264.26426425001,12187406086561858e-22,-2.858288302423339
73514.51451450001,11627091597473566e-22,-2.892743296758642
74764.76476475001,11108514272479394e-22,-2.9181319029432884
76015.01501500001,1067365254790138e-21,-2.950118378776496
77265.26526525001,10256958737640802e-22,-2.978797709249255
78515.51551550001,9896721470037544e-22,-3.0037971617489445
79765.76576575001,961255746328062e-21,-3.0321302686927
81016.01601600001,9340490740079683e-22,-3.059718676125556
82266.26626625001,907703793028359e-21,-3.082884876851334
83516.5165165,8833445000601792e-22,-3.108972174733174
84766.76676675,8632211337601194e-22,-3.1337181033879413
86017.017017,8436644969174088e-22,3.1253277141471383
87267.26726725,8236944927736006e-22,3.100820764470864
88517.5175175,8024620482104844e-22,3.078430554015187
89767.76776775,7908852655217113e-22,3.0588215173746525
91018.018018,7743698484872805e-22,3.031739114000322
92268.26826825002,7619504568506382e-22,3.0122356871377054
93518.51851850002,7488280389182736e-22,2.9910500820122383
94768.76876875001,7353417968705754e-22,2.97308101615382
96019.01901900001,7224977210005879e-22,2.9505547078601118
97269.26926925001,7128604892097276e-22,2.92783186040548
98519.51951950001,7016621794646326e-22,2.9091325167376736
99769.76976975001,6902740177731063e-22,2.891057231217323
101020.02002000001,6818209995801575e-22,2.8706221947659443
102270.27027025001,6722448714174621e-22,2.8522032541871005
103520.52052050001,6610469200593785e-22,2.8333912966144856
104770.77077075001,6535986003093113e-22,2.818065544264271
106021.02102100001,6444518580218148e-22,2.800528630030988
107271.27127125,6371140886996741e-22,2.781088202605515
108521.5215215,6277978457416441e-22,2.7655165086437234
109771.77177175,6227956891292382e-22,2.749951855664766
111022.02202200002,6153125698235613e-22,2.7307425924446243
112272.27227225002,6076858571842753e-22,2.715923635260594
113522.52252250002,6023203176500905e-22,2.7012804006656546
114772.77277275002,5946048402942534e-22,2.6839413960661416
116023.02302300002,5887180688104407e-22,2.668057335978222
117273.27327325002,5819876956010115e-22,2.6532819399250673
118523.52352350001,5773551723050168e-22,2.6390265069374856
119773.77377375001,5712502261744571e-22,2.623961982457931
121024.02402400001,56516030760332e-20,2.609431295563796
122274.27427425001,5595161108748975e-22,2.5963751673093722
123524.52452450001,5536873779146971e-22,2.580570890426408
124774.77477475001,5497130299981592e-22,2.565876545662362
126025.02502500001,5441044099249131e-22,2.5540864500601934
127275.27527525001,5398908963543462e-22,2.5389426837754208
128525.52552550001,5346080283433956e-22,2.5255305393434817
129775.77577575001,5296897385381045e-22,2.5133524906531646
131026.026026,5246373831122016e-22,2.49929204157321
132276.27627625002,521432875083714e-21,2.486889084898578
133526.5265265,5157351656951038e-22,2.475854363977718
134776.77677675002,5117625767618221e-22,2.463055639177883
136027.027027,508092368810227e-21,2.4499076380329114
137277.27727725002,5031614664033761e-22,2.438450246523994
138527.5275275,5005672624239449e-22,2.4251337211157695
139777.77777775002,4962743222400657e-22,2.4148295868652667
141028.02802800003,4916447273390663e-22,2.4005854752705607
142278.27827825,4881200041824915e-22,2.3897674018519335
143528.52852850003,4846250643161431e-22,2.3775659786078296
144778.77877875,4806024718562732e-22,2.367019171107776
146029.02902900003,4778489413409613e-22,2.353551123475859
147279.27927925,47472006118375767e-23,2.3440232734354325
148529.52952950003,47028632834748693e-23,2.335906337415672
149779.77977975,4666820157100084e-22,2.326788317848441
151030.03003000002,46340343907841287e-23,2.3159268613747073
152280.28028025,4601494650208339e-22,2.3060598300093185
153530.53053050002,45683591977328446e-23,2.2955994887303737
154780.78078075,4547360383870621e-22,2.285078408427376
156031.03103100002,45123552661497666e-23,2.274245619592759
157281.28128125,4488135210872603e-22,2.2653370889268407
158531.53153150002,44556860515495526e-23,2.253957085216076
159781.78178175,44306789434692007e-23,2.245404587513377
161032.03203200002,43970210790108696e-23,2.2353908955527153
162282.28228225003,43688264283543413e-23,2.2260981770122785
163532.53253250002,434044149990882e-21,2.2161477486764563
164782.78278275003,4319088576733364e-22,2.2068817963017477
166033.033033,42880519212491874e-23,2.197829301091493
167283.28328325003,4264752140348548e-22,2.1892264200517566
168533.5335335,4237922548819958e-22,2.1801052628727944
169783.78378375003,4215283828358096e-22,2.171218887011659
171034.034034,4192714533482319e-22,2.1630413435620053
172284.28428425002,4167645253726898e-22,2.1526516569248932
173534.5345345,41445032562530653e-23,2.144760596716754
174784.78478475002,41207352497296365e-23,2.135940161254582
176035.035035,40976171016029653e-23,2.127162544801957
177285.28528525002,4075483997939967e-22,2.1194143477545873
178535.5355355,40522651471533456e-23,2.111037768378781
179785.78578575002,4029449914541687e-22,2.103296337595233
181036.036036,4009797730939631e-22,2.0954857913004954
182286.28628625002,3987763977975145e-22,2.0862642378726486
183536.53653650003,39675122951485634e-23,2.0776226902393375
184786.78678675002,3948480950092247e-22,2.0697899459937075
186037.03703700003,39320752416575686e-23,2.061834676935261
187287.28728725002,3912098372854883e-22,2.054058243796267
188537.53753750003,3890407259907587e-22,2.046250836368503
189787.78778775,3867660599311153e-22,2.0379182550297497
191038.03803800003,38540212108654015e-23,2.030133305254904
192288.28828825,38328739542629894e-23,2.022508430146428
193538.53853850003,38143821448762526e-23,2.0151270660359453
194788.78878875,37968976949765795e-23,2.007848431943102
196039.03903900002,37820825425093453e-23,2.0007042324038222
197289.28928925,3761887111247313e-22,1.9931654608743874
198539.53953950002,37469776677599424e-23,1.9862553094057336
199789.78978975,372331405398702e-21,1.9796577661581773
201040.04004000002,37135904500428015e-23,1.9725357765369902
202290.29029025004,36953059415830557e-23,1.965481733837079
203540.54054050002,36774662074443287e-23,1.9587408627885958
204790.79079075003,36661203171817126e-23,1.9521401500274813
206041.04104100002,3642842757543409e-22,1.9445237728892601
207291.29129125003,36333121333644357e-23,1.9381134324727183
208541.54154150002,3617940776703761e-22,1.9307438904251473
209791.79179175003,36014730782044297e-23,1.925142419454904
211042.04204200002,35857892988533525e-23,1.9171788195147752
212292.29229225003,35737158117140886e-23,1.9102410904085814
213542.5425425,3561851321183135e-22,1.9032412761732511
214792.79279275003,35454293016911144e-23,1.8973027000201452
216043.043043,3530707951252451e-22,1.8771976703165703
217293.29329325003,3520249246978585e-22,1.8839690339206105
218543.5435435,35044488712194553e-23,1.8785890056981196
219793.79379375002,34903551337274906e-23,1.873066361803245
221044.04404400004,34789441938938344e-23,1.8660326280255592
222294.29429425002,3467887237803285e-22,1.8602852855841354
223544.54454450004,3455187482399704e-22,1.8530200941048058
224794.79479475002,34428934651512254e-23,1.8494904470009763
226045.04504500004,3426443243734625e-22,1.8423664604527739
227295.29529525002,3414818678749348e-22,1.836348372946149
228545.54554550003,3402000176555536e-22,1.830664276713622
229795.79579575002,33880420834422064e-23,1.8242812300337787
231046.04604600003,3381722593760364e-22,1.8174515649325187
232296.29629625002,33703287798183565e-23,1.8126244026121794
233546.54654650003,3359143678240287e-22,1.8054589983653229
234796.79679675002,3350687614994047e-22,1.7996144438716795
236047.04704700003,3336924868888467e-22,1.7934409136749354
237297.29729725,3325088435497873e-22,1.7882037814414613
238547.54754750003,3317725203964219e-22,1.7828385129848232
239797.79779775,3306584178694797e-22,1.7766158804391128
241048.04804800003,32949222174628984e-23,1.7697527738207584
242298.29829825004,3288667124519477e-22,1.7654468248366157
243548.54854850002,32773223635382763e-23,1.7599044409692755
244798.79879875004,32682919644510143e-23,1.75179769955259
246049.04904900002,3258683523551751e-22,1.7480420934461949
247299.29929925004,32522981172100594e-23,1.741452673370257
248549.54954950002,3243577677317423e-22,1.735539552291022
249799.79979975004,3234486186850654e-22,1.7302459426482606
251050.05005000002,32250521838228234e-23,1.7225737098016924
252300.30030025003,3220033842656059e-22,1.719989322179281
253550.55055050002,32106703236386236e-23,1.7132033990859195
254800.80080075003,3200056933056993e-22,1.7073085486885544
256051.05105100002,31952264127705933e-23,1.7023032829625775
257301.30130125003,3185224639531484e-22,1.695803005926553
258551.55155150002,3177582333538096e-22,1.6906281525736584
259801.80180175003,3169852419448138e-22,1.684841973973115
261052.052052,31640440514821387e-23,1.6792342557172424
262302.30230225006,31562350506151923e-23,1.673823944961644
263552.55255250004,31505490897311197e-23,1.6694272659744516
264802.80280275,31437486041385773e-23,1.66314928734519
266053.053053,31395386606873516e-23,1.6582980600428976
267303.30330325005,3128932712560796e-22,1.6529147813628409
268553.55355350004,31240339355541516e-23,1.6481257566349838
269803.80380375,31167866656780226e-23,1.6420585955623146
271054.054054,31111829119451507e-23,1.6367560975144326
272304.30430425005,3104451692861794e-22,1.6324090244892175
273554.55455450004,3096610347590372e-22,1.626903673800377
274804.80480475,3090621444467011e-22,1.6226422018409241
276055.055055,30857405933500473e-23,1.617056660472438
277305.30530525005,3078474681496974e-22,1.6114608346467885
278555.55555550003,3075139782183386e-22,1.6068160146331394
279805.80580575,3070032226501962e-22,1.601874360397414
281056.05605600006,30652553972091757e-23,1.5965862475012311
282306.30630625004,30597300087609995e-23,1.591214178118185
283556.5565565,3052670182490783e-22,1.5860073364622147
284806.80680675,3050721248496477e-22,1.5803679758463731
286057.05705700006,3044871027391965e-22,1.5757642285331914
287307.30730725004,30402388989875216e-23,1.570969525218137
288557.5575575,3035987159751668e-22,1.5658828695786329
289807.80780775,30297789953091017e-23,1.5612459458139545
291058.05805800005,302742959476043e-21,1.556246306461206
292308.30830825004,3023453835947004e-22,1.5507500644308818
293558.5585585,3019013439732151e-22,1.5462734450798625
294808.80880875,3015227210046102e-22,1.5416774790377237
296059.05905900005,3011919942296501e-22,1.5359764786075711
297309.30930925003,3008482375212795e-22,1.5311923225978354
298559.5595595,30048693739382995e-23,1.5260408404869654
299809.80980975,3001600849537306e-22,1.5214522742122025
301060.06006000005,29980973545502353e-23,1.516725341575948
302310.31031025003,2993746690493251e-22,1.5114552940582067
303560.5605605,2993431442198604e-22,1.5061357626201117
304810.81081075006,2986939738908197e-22,1.5017417815305878
306061.06106100004,298610025864467e-21,1.4971923648471042
307311.31131125,2983792440533432e-22,1.4914674119532334
308561.5615615,2981277607111882e-22,1.48746105534982
309811.81181175006,29789968620620987e-23,1.4821163508190074
311062.06206200004,2976928546147605e-22,1.4771904664169009
312312.31231225,2973723395794129e-22,1.4724097711582307
313562.5625625,2973418154584094e-22,1.4672356068302574
314812.81281275005,297236322526263e-21,1.4626532777616734
316063.06306300004,2969513878732239e-22,1.4574861114259332
317313.31331325,296710858153164e-21,1.4534602765386126
318563.5635635,2966836259824829e-22,1.4485234786136378
319813.81381375005,2963969726777445e-22,1.444155165989095
321064.06406400003,2961861239346082e-22,1.439007003637579
322314.31431425,2960238405355648e-22,1.4350699720363513
323564.56456450006,29610733273428686e-23,1.4305923684503594
324814.81481475005,2957979230769126e-22,1.4259071187595207
326065.06506500003,295734263803513e-21,1.421312134196306
327315.31531525,2955495133127726e-22,1.4172366459496242
328565.56556550006,2956392001187563e-22,1.4123514324779045
329815.81581575004,2953667185355803e-22,1.407381676319251
331066.066066,29547714368299364e-23,1.4031070094626097
332316.31631625,29539129962477076e-23,1.3983167229294224
333566.56656650006,2953222490040637e-22,1.393991649671916
334816.81681675004,29517361241002577e-23,1.3901958754013113
336067.067067,2953177573483801e-22,1.3853596625541376
337317.31731725,2953233350681521e-22,1.381140351798189
338567.56756750005,2952123588920017e-22,1.376426844834062
339817.81781775004,2951355765973575e-22,1.3721250238983034
341068.068068,2952235479646625e-22,1.3681973249310762
342318.31831825007,29536462993531197e-23,1.3641754687958019
343568.56856850005,2954315233607402e-22,1.3593882866115128
344818.81881875003,2954326700698294e-22,1.354821734502029
346069.069069,29556471533328246e-23,1.350717337358321
347319.31931925006,2955679931938125e-22,1.3459036492670893
348569.56956950005,29580843970469923e-23,1.3417878676733304
349819.81981975003,29590513716159604e-23,1.3375427437584966
351070.07007,2973614709194025e-22,1.3335242795100541
352320.32032025006,297600396893406e-21,1.3283792648568769
353570.57057050004,29764545243193756e-23,1.3242788700226227
354820.82082075,2978557137578044e-22,1.3201642205498607
356071.071071,297852825477728e-21,1.3158047336296423
357321.32132125006,29826259980122893e-23,1.3117920914738703
358571.57157150004,29829502667147137e-23,1.307919279869774
359821.82182175,2985707392579688e-22,1.3037067736133423
361072.072072,29888807588127585e-23,1.2994400373539439
362322.32232225005,29920035541401864e-23,1.2948104979643373
363572.57257250004,299367359671504e-21,1.2907794091790235
364822.82282275,29973030873092575e-23,1.286186328510265
366073.07307300007,3000242169784783e-22,1.281909428436708
367323.32332325005,30038610562545925e-23,1.2777401129554784
368573.57357350003,30067925773623794e-23,1.2734825852787792
369823.82382375,3008362164086728e-22,1.2690106996996418
371074.07407400006,301218936582981e-21,1.265009676854082
372324.32432425005,30175307186539316e-23,1.2605546616608823
373574.57457450003,30207689986645154e-23,1.256513168844991
374824.82482475,302312133510992e-21,1.252558902807049
376075.07507500006,30292865639227644e-23,1.2482531232194325
377325.32532525004,30335024286716465e-23,1.2437191618284427
378575.5755755,303743281592514e-21,1.2401956688310762
379825.82582575,30421455605398094e-23,1.2355622156126347
381076.07607600006,30470382280719764e-23,1.2317826103943212
382326.32632625004,30512123150319537e-23,1.227663969411522
383576.5765765,3057184472664658e-22,1.2233930941355493
384826.82682675007,3061266831155085e-22,1.219573655027752
386077.07707700005,3066467060684757e-22,1.2160220573385794
387327.32732725004,3072644493356072e-22,1.2110809157462152
388577.5775775,3078817569030016e-22,1.207048186185843
389827.82782775006,3082688394622976e-22,1.203228078797863
391078.07807800005,309017480777994e-21,1.1989097126276897
392328.32832825003,3097175578714856e-22,1.1944698775158926
393578.5785785,3102111356261172e-22,1.1905619913339633
394828.82882875006,3109475416474685e-22,1.1863281173644051
396079.07907900005,31162447501295305e-23,1.1822739874012207
397329.32932925003,3121770951133536e-22,1.1781038532192876
398579.5795795,313095173000881e-21,1.1738904759107913
399829.82982975006,31386067569401903e-23,1.1694806608940276
401080.08008000004,3143782653119901e-22,1.1656661749065895
402330.33033025,3153448456375402e-22,1.162362263367123
403580.5805805001,3160506840729059e-22,1.157996718737385
404830.83083075006,3168098788152309e-22,1.1542722272482817
406081.08108100004,3177068723838523e-22,1.1498272280363617
407331.33133125,3186093721359042e-22,1.145932644804257
408581.58158150007,31934304110086047e-23,1.1415831611573666
409831.83183175005,32034813892595577e-23,1.1374763357833046
411082.08208200004,3213510149174558e-22,1.1329773985689648
412332.33233225,32211347948402013e-23,1.129231645009979
413582.58258250006,3231769068540776e-22,1.1250840165418694
414832.83283275005,32422763388352797e-23,1.1208640615614718
416083.08308300003,3251707094672212e-22,1.1165517451816482
417333.33333325,32622857385581254e-23,1.1124683931622281
418583.58358350006,32733920195383356e-23,1.1084293684816027
419833.83383375005,3282277831851513e-22,1.1046334688546964
421084.08408400003,3295301101253959e-22,1.1005171350435972
422334.3343342501,33067050904394346e-23,1.0961165896344467
423584.58458450006,33179218694078554e-23,1.092107937028934
424834.83483475004,33292455413432444e-23,1.0883188164064732
426085.085085,334325832640724e-21,1.0842501212331266
427335.33533525007,33547287945116833e-23,1.0796068204216722
428585.58558550006,3367517590980012e-22,1.0758428295810947
429835.83583575004,3381078036673916e-22,1.0711192326816543
431086.086086,33939970800226257e-23,1.0674790077497402
432336.33633625007,3408315852557596e-22,1.062945161651902
